          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
         rocblas ,   SP ,   500 ,     1 ,   500 ,       1.302001 ,       0.188047 ,       0.188603 ,   0.295727
         rocblas ,   SP ,   600 ,     1 ,   600 ,       0.971443 ,       0.369607 ,       0.370183 ,   0.155842
         rocblas ,   SP ,   700 ,     1 ,   700 ,       1.074757 ,       0.454611 ,       0.455157 ,   0.120248
         rocblas ,   SP ,   800 ,     1 ,   800 ,       1.234321 ,       0.504507 ,       0.519187 ,   2.909789
         rocblas ,   SP ,   900 ,     1 ,   900 ,       1.076568 ,       0.717074 ,       0.756588 ,   5.510504
         rocblas ,   SP ,  1000 ,     1 ,  1000 ,       1.000030 ,       0.994778 ,       0.999942 ,   0.519126
         rocblas ,   SP ,  1100 ,     1 ,  1100 ,       1.210106 ,       0.992560 ,       1.000037 ,   0.753285
         rocblas ,   SP ,  1200 ,     1 ,  1200 ,       1.440165 ,       0.997295 ,       1.000004 ,   0.271578
         rocblas ,   SP ,  1300 ,     1 ,  1300 ,       1.688456 ,       0.997100 ,       0.999942 ,   0.285022
         rocblas ,   SP ,  1400 ,     1 ,  1400 ,       1.938001 ,       0.995717 ,       1.000004 ,   0.430521
         rocblas ,   SP ,  1500 ,     1 ,  1500 ,       2.166781 ,       1.026182 ,       1.037884 ,   1.140303
         rocblas ,   SP ,  1600 ,     1 ,  1600 ,       1.884780 ,       1.333957 ,       1.340199 ,   0.467916
         rocblas ,   SP ,  1700 ,     1 ,  1700 ,       2.151448 ,       1.329880 ,       1.341419 ,   0.867707
         rocblas ,   SP ,  1800 ,     1 ,  1800 ,       2.144474 ,       1.496077 ,       1.501837 ,   0.385020
         rocblas ,   SP ,  1900 ,     1 ,  1900 ,       2.006015 ,       1.719279 ,       1.800103 ,   4.701034
         rocblas ,   SP ,  2000 ,     1 ,  2000 ,       1.999413 ,       1.989141 ,       2.000022 ,   0.547041
         rocblas ,   SP ,  2100 ,     1 ,  2100 ,       2.198421 ,       1.997504 ,       2.000437 ,   0.146811
         rocblas ,   SP ,  2200 ,     1 ,  2200 ,       2.215419 ,       2.151122 ,       2.181921 ,   1.431760
         rocblas ,   SP ,  2300 ,     1 ,  2300 ,       2.280673 ,       2.282639 ,       2.319860 ,   1.630653
         rocblas ,   SP ,  2400 ,     1 ,  2400 ,       2.197995 ,       2.594943 ,       2.612000 ,   0.657296
         rocblas ,   SP ,  2500 ,     1 ,  2500 ,       2.255544 ,       2.755542 ,       2.770901 ,   0.557383
         rocblas ,   SP ,  2600 ,     1 ,  2600 ,       2.253139 ,       2.993684 ,       3.000016 ,   0.211525
         rocblas ,   SP ,  2700 ,     1 ,  2700 ,       2.322501 ,       3.095579 ,       3.121719 ,   0.844437
         rocblas ,   SP ,  2800 ,     1 ,  2800 ,       2.329191 ,       3.344221 ,       3.366356 ,   0.661882
         rocblas ,   SP ,  2900 ,     1 ,  2900 ,       2.415213 ,       3.453460 ,       3.477063 ,   0.683472
         rocblas ,   SP ,  3000 ,     1 ,  3000 ,       2.416397 ,       3.702483 ,       3.716898 ,   0.389328
         rocblas ,   SP ,   500 ,     2 ,   500 ,       3.889263 ,       0.188603 ,       0.189425 ,   0.435603
         rocblas ,   SP ,   600 ,     2 ,   600 ,       2.868052 ,       0.375086 ,       0.376286 ,   0.319881
         rocblas ,   SP ,   700 ,     2 ,   700 ,       3.214692 ,       0.455629 ,       0.456618 ,   0.216972
         rocblas ,   SP ,   800 ,     2 ,   800 ,       3.715282 ,       0.503825 ,       0.511691 ,   1.561170
         rocblas ,   SP ,   900 ,     2 ,   900 ,       3.297743 ,       0.713082 ,       0.731735 ,   2.615793
         rocblas ,   SP ,  1000 ,     2 ,  1000 ,       2.999782 ,       0.999742 ,       1.000037 ,   0.029572
         rocblas ,   SP ,  1100 ,     2 ,  1100 ,       3.629973 ,       0.997081 ,       1.000018 ,   0.294592
         rocblas ,   SP ,  1200 ,     2 ,  1200 ,       4.304507 ,       0.990701 ,       1.000080 ,   0.946743
         rocblas ,   SP ,  1300 ,     2 ,  1300 ,       5.063902 ,       0.997100 ,       0.999980 ,   0.288847
         rocblas ,   SP ,  1400 ,     2 ,  1400 ,       5.334295 ,       1.091199 ,       1.100020 ,   0.808422
         rocblas ,   SP ,  1500 ,     2 ,  1500 ,       5.734474 ,       1.164761 ,       1.173840 ,   0.779472
         rocblas ,   SP ,  1600 ,     2 ,  1600 ,       5.477324 ,       1.332836 ,       1.403780 ,   5.322772
         rocblas ,   SP ,  1700 ,     2 ,  1700 ,       5.757636 ,       1.497498 ,       1.500120 ,   0.175132
         rocblas ,   SP ,  1800 ,     2 ,  1800 ,       6.356777 ,       1.509318 ,       1.522741 ,   0.889340
         rocblas ,   SP ,  1900 ,     2 ,  1900 ,       6.007513 ,       1.778884 ,       1.800160 ,   1.196057
         rocblas ,   SP ,  2000 ,     2 ,  2000 ,       5.986138 ,       1.991024 ,       2.000060 ,   0.453840
         rocblas ,   SP ,  2100 ,     2 ,  2100 ,       6.514357 ,       1.993842 ,       2.022576 ,   1.441148
