          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  2100 ,     2 ,  2100 ,     524.447810 ,       0.024500 ,       0.024796 ,   1.206695
   rocblas_wo_dt ,   SP ,  2200 ,     2 ,  2200 ,     550.707078 ,       0.025139 ,       0.026422 ,   5.102428
   rocblas_wo_dt ,   SP ,  2300 ,     2 ,  2300 ,     411.999060 ,       0.036440 ,       0.038562 ,   5.823083
   rocblas_wo_dt ,   SP ,  2400 ,     2 ,  2400 ,     515.337727 ,       0.032563 ,       0.033503 ,   2.884756
   rocblas_wo_dt ,   SP ,  2500 ,     2 ,  2500 ,     494.742581 ,       0.037241 ,       0.037956 ,   1.920615
   rocblas_wo_dt ,   SP ,  2600 ,     2 ,  2600 ,     537.990190 ,       0.037341 ,       0.037680 ,   0.906653
   rocblas_wo_dt ,   SP ,  2700 ,     2 ,  2700 ,     520.560085 ,       0.041637 ,       0.042000 ,   0.870362
   rocblas_wo_dt ,   SP ,  2800 ,     2 ,  2800 ,     526.373948 ,       0.044198 ,       0.044661 ,   1.046499
   rocblas_wo_dt ,   SP ,  2900 ,     2 ,  2900 ,     518.188135 ,       0.048380 ,       0.048656 ,   0.571654
   rocblas_wo_dt ,   SP ,  3000 ,     2 ,  3000 ,     534.767984 ,       0.050120 ,       0.050521 ,   0.799163
   rocblas_wo_dt ,   SP ,   500 ,     3 ,   500 ,     237.129739 ,       0.005260 ,       0.005268 ,   0.151869
   rocblas_wo_dt ,   SP ,   600 ,     3 ,   600 ,     304.791816 ,       0.005773 ,       0.005785 ,   0.194908
   rocblas_wo_dt ,   SP ,   700 ,     3 ,   700 ,     343.214343 ,       0.007118 ,       0.007132 ,   0.203374
   rocblas_wo_dt ,   SP ,   800 ,     3 ,   800 ,     424.400595 ,       0.007478 ,       0.007516 ,   0.508906
   rocblas_wo_dt ,   SP ,   900 ,     3 ,   900 ,     474.854983 ,       0.008411 ,       0.008523 ,   1.333889
   rocblas_wo_dt ,   SP ,  1000 ,     3 ,  1000 ,     362.264544 ,       0.009918 ,       0.015240 ,  53.653847
